; MoDaHr,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC
; Fuel=,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane
; CZ=,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16
10116,7.161531563,168.7336343,129.3495372,10.10674287,168.7336343,129.3495372,10.07486402,168.7336343,129.3495372,7.151969661,168.7336343,129.3495372,7.145506031,168.7336343,129.3495372,6.05820981,170.2777062,129.3495372,6.181294029,170.5637928,129.3495372,5.980286226,170.2777062,129.3495372,5.968757121,170.2777062,129.3495372,5.996644356,170.2777062,129.3495372,7.136615383,168.7336343,129.3495372,7.135012496,168.7336343,129.3495372,7.133686478,168.7336343,129.3495372,5.987184175,170.2777062,129.3495372,6.019097564,170.2777062,129.3495372,5.958928366,170.2777062,129.3495372
10117,7.554870044,168.7336343,129.3495372,12.55544123,168.7336343,129.3495372,12.53498123,168.7336343,129.3495372,7.544992389,168.7336343,129.3495372,7.538315318,168.7336343,129.3495372,7.115349375,170.2777062,129.3495372,7.275231849,170.5637928,129.3495372,7.030009879,170.2777062,129.3495372,7.017383561,170.2777062,129.3495372,7.047924797,170.2777062,129.3495372,7.529131083,168.7336343,129.3495372,7.527475265,168.7336343,129.3495372,7.52610546,168.7336343,129.3495372,7.0375643,170.2777062,129.3495372,7.072514854,170.2777062,129.3495372,7.006619413,170.2777062,129.3495372
10118,9.088012083,168.7336343,129.3495372,17.27454392,168.7336343,129.3495372,14.17568242,168.7336343,129.3495372,9.076903697,168.7336343,129.3495372,9.069394679,168.7336343,129.3495372,9.073049926,170.2777062,129.3495372,9.301078524,170.5637928,129.3495372,8.973977018,170.2777062,129.3495372,8.959318787,170.2777062,129.3495372,8.994774926,170.2777062,129.3495372,9.059066111,168.7336343,129.3495372,9.057203983,168.7336343,129.3495372,9.055663503,168.7336343,129.3495372,8.982747148,170.2777062,129.3495372,9.023322183,170.2777062,129.3495372,8.9468224,170.2777062,129.3495372
10119,11.36457978,168.7336343,129.3495372,17.71629069,168.7336343,129.3495372,17.4958242,168.7336343,129.3495372,14.20029803,168.7336343,129.3495372,14.14532732,168.7336343,129.3495372,9.209821898,170.2777062,129.3495372,14.98006512,170.5637928,129.3495372,9.109789524,170.2777062,129.3495372,9.094989336,170.2777062,129.3495372,9.130788848,170.2777062,129.3495372,9.146937319,168.7336343,129.3495372,9.145063341,168.7336343,129.3495372,9.143513059,168.7336343,129.3495372,9.118644588,170.2777062,129.3495372,9.159612569,170.2777062,129.3495372,9.082371928,170.2777062,129.3495372
10120,9.517238537,168.7336343,129.3495372,17.90150766,168.7336343,129.3495372,17.65051025,168.7336343,129.3495372,11.66621565,168.7336343,129.3495372,14.46361042,168.7336343,129.3495372,13.14974822,170.2777062,129.3495372,12.00242909,170.5637928,129.3495372,9.437786489,170.2777062,129.3495372,9.422643465,170.2777062,129.3495372,9.459272247,170.2777062,129.3495372,9.487394713,168.7336343,129.3495372,9.485474826,168.7336343,129.3495372,9.483886562,168.7336343,129.3495372,9.446846674,170.2777062,129.3495372,9.488763649,170.2777062,129.3495372,9.409733784,170.2777062,129.3495372
10121,9.219452225,168.7336343,129.3495372,14.30211293,168.7336343,129.3495372,11.48932117,168.7336343,129.3495372,9.208238325,168.7336343,129.3495372,9.200657982,168.7336343,129.3495372,18.2373821,170.2777062,129.3495372,15.0156712,170.5637928,129.3495372,9.128312423,170.2777062,129.3495372,9.113492874,170.2777062,129.3495372,9.149339218,170.2777062,129.3495372,9.190231307,168.7336343,129.3495372,9.188351492,168.7336343,129.3495372,9.18679638,168.7336343,129.3495372,9.137179071,170.2777062,129.3495372,9.178200644,170.2777062,129.3495372,9.100858961,170.2777062,129.3495372
10122,9.219452225,168.7336343,129.3495372,14.23909332,168.7336343,129.3495372,14.34459314,168.7336343,129.3495372,12.03711223,168.7336343,129.3495372,12.08853063,168.7336343,129.3495372,23.86288801,170.2777062,129.3495372,18.3801821,170.5637928,129.3495372,9.128312423,170.2777062,129.3495372,9.113492874,170.2777062,129.3495372,9.149339218,170.2777062,129.3495372,9.190231307,168.7336343,129.3495372,9.188351492,168.7336343,129.3495372,9.18679638,168.7336343,129.3495372,9.137179071,170.2777062,129.3495372,9.178200644,170.2777062,129.3495372,9.100858961,170.2777062,129.3495372
10123,9.219452225,168.7336343,129.3495372,12.05487217,168.7336343,129.3495372,14.36721809,168.7336343,129.3495372,12.10578304,168.7336343,129.3495372,12.07895916,168.7336343,129.3495372,24.23737809,170.2777062,129.3495372,16.36431643,170.5637928,129.3495372,9.128312423,170.2777062,129.3495372,9.113492874,170.2777062,129.3495372,14.33456278,170.2777062,129.3495372,9.190231307,168.7336343,129.3495372,9.188351492,168.7336343,129.3495372,9.18679638,168.7336343,129.3495372,9.137179071,170.2777062,129.3495372,9.178200644,170.2777062,129.3495372,9.100858961,170.2777062,129.3495372
10124,12.05514203,168.7336343,129.3495372,9.234317314,168.7336343,129.3495372,14.39890298,168.7336343,129.3495372,12.1892218,168.7336343,129.3495372,12.10860741,168.7336343,129.3495372,24.59399796,170.2777062,129.3495372,16.55358863,170.5637928,129.3495372,9.151498993,170.2777062,129.3495372,14.54637474,170.2777062,129.3495372,14.39440912,170.2777062,129.3495372,9.214298722,168.7336343,129.3495372,9.212415662,168.7336343,129.3495372,9.210857864,168.7336343,129.3495372,14.47751331,170.2777062,129.3495372,9.2014688,170.2777062,129.3495372,9.124000634,170.2777062,129.3495372
10201,26.10342997,168.7336343,129.3495372,23.24355673,168.7336343,129.3495372,23.26526232,168.7336343,129.3495372,26.07883892,168.7336343,129.3495372,23.22439176,168.7336343,129.3495372,34.15639483,170.2777062,129.3495372,30.78545035,170.5637928,129.3495372,22.63590395,170.2777062,129.3495372,33.35831106,170.2777062,129.3495372,27.98564093,170.2777062,129.3495372,23.20348371,168.7336343,129.3495372,23.19971422,168.7336343,129.3495372,23.19659583,168.7336343,129.3495372,28.02175799,170.2777062,129.3495372,22.733321,170.2777062,129.3495372,22.5822954,170.2777062,129.3495372
10202,23.24392579,168.7336343,129.3495372,23.22541568,168.7336343,129.3495372,23.2471072,168.7336343,129.3495372,23.22145373,168.7336343,129.3495372,23.20626313,168.7336343,129.3495372,33.26010194,170.2777062,129.3495372,30.55453102,170.5637928,129.3495372,22.61817664,170.2777062,129.3495372,22.58925694,170.2777062,129.3495372,22.65920951,170.2777062,129.3495372,23.18536863,168.7336343,129.3495372,23.18160158,168.7336343,129.3495372,23.17848521,168.7336343,129.3495372,22.63547951,170.2777062,129.3495372,22.71553132,170.2777062,129.3495372,22.56460241,170.2777062,129.3495372
10203,23.39696421,168.7336343,129.3495372,23.3783529,168.7336343,129.3495372,23.40016301,168.7336343,129.3495372,23.37436929,168.7336343,129.3495372,23.35909565,168.7336343,129.3495372,22.96180915,170.2777062,129.3495372,30.61433042,170.5637928,129.3495372,22.76530558,170.2777062,129.3495372,22.73623209,170.2777062,129.3495372,22.80655664,170.2777062,129.3495372,23.33808692,168.7336343,129.3495372,23.33429927,168.7336343,129.3495372,23.33116587,168.7336343,129.3495372,22.78270046,170.2777062,129.3495372,22.86317795,170.2777062,129.3495372,22.71144646,170.2777062,129.3495372
10204,23.3093063,168.7336343,129.3495372,23.29075296,168.7336343,129.3495372,23.31249514,168.7336343,129.3495372,23.28678176,168.7336343,129.3495372,23.27155567,168.7336343,129.3495372,22.87694073,170.2777062,129.3495372,30.54062018,170.5637928,129.3495372,22.68103252,170.2777062,129.3495372,22.65204712,170.2777062,129.3495372,22.72215861,170.2777062,129.3495372,23.25061237,168.7336343,129.3495372,23.24683652,168.7336343,129.3495372,23.24371288,168.7336343,129.3495372,22.6983747,170.2777062,129.3495372,22.77860837,170.2777062,129.3495372,22.62733658,170.2777062,129.3495372
10205,23.3093063,168.7336343,129.3495372,23.29075296,168.7336343,129.3495372,23.31249514,168.7336343,129.3495372,23.28678176,168.7336343,129.3495372,23.27155567,168.7336343,129.3495372,28.1454178,170.2777062,129.3495372,30.64670121,170.5637928,129.3495372,22.68103252,170.2777062,129.3495372,22.65204712,170.2777062,129.3495372,27.90673134,170.2777062,129.3495372,23.25061237,168.7336343,129.3495372,23.24683652,168.7336343,129.3495372,23.24371288,168.7336343,129.3495372,22.6983747,170.2777062,129.3495372,22.77860837,170.2777062,129.3495372,22.62733658,170.2777062,129.3495372
10206,23.26207885,168.7336343,129.3495372,23.24355673,168.7336343,129.3495372,23.26526232,168.7336343,129.3495372,23.23959222,168.7336343,129.3495372,23.22439176,168.7336343,129.3495372,33.31489582,170.2777062,129.3495372,30.37338478,170.5637928,129.3495372,22.63590395,170.2777062,129.3495372,22.60696572,170.2777062,129.3495372,32.92343747,170.2777062,129.3495372,23.20348371,168.7336343,129.3495372,23.19971422,168.7336343,129.3495372,23.19659583,168.7336343,129.3495372,22.65321791,170.2777062,129.3495372,22.733321,170.2777062,129.3495372,22.5822954,170.2777062,129.3495372
10207,23.32612688,168.7336343,129.3495372,23.30756241,168.7336343,129.3495372,23.32931763,168.7336343,129.3495372,23.30358883,168.7336343,129.3495372,23.28835362,168.7336343,129.3495372,34.27439863,170.2777062,129.3495372,31.24824878,170.5637928,129.3495372,22.69747881,170.2777062,129.3495372,28.08797649,170.2777062,129.3495372,33.97466278,170.2777062,129.3495372,23.26739776,168.7336343,129.3495372,23.26361965,168.7336343,129.3495372,23.26049414,168.7336343,129.3495372,28.04954473,170.2777062,129.3495372,28.27071056,170.2777062,129.3495372,22.64375102,170.2777062,129.3495372
