; MoDaHr,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC
; Fuel=,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane
; CZ=,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16
10116,8.66370832,184.3827652,129.3495372,8.658639846,184.3827652,129.3495372,8.665260564,184.3827652,129.3495372,8.651666197,184.3827652,129.3495372,8.643105445,184.3827652,129.3495372,8.095400396,185.836193,129.3495372,8.340312485,186.1020788,129.3495372,8.029114785,185.836193,129.3495372,8.00548431,185.836193,129.3495372,8.024976625,185.836193,129.3495372,8.647950233,184.3827652,129.3495372,8.639823839,184.3827652,129.3495372,8.645553815,184.3827652,129.3495372,8.059734707,185.836193,129.3495372,8.062404742,185.836193,129.3495372,8.019691968,185.836193,129.3495372
10117,12.50288948,184.3827652,129.3495372,12.49637762,184.3827652,129.3495372,12.50488377,184.3827652,129.3495372,12.48741802,184.3827652,129.3495372,12.47641935,184.3827652,129.3495372,11.73699617,185.836193,129.3495372,12.11938422,186.1020788,129.3495372,11.65244697,185.836193,129.3495372,11.62230562,185.836193,129.3495372,11.64716863,185.836193,129.3495372,12.48264383,184.3827652,129.3495372,12.47220321,184.3827652,129.3495372,12.47956496,184.3827652,129.3495372,11.69150356,185.836193,129.3495372,11.69490927,185.836193,129.3495372,11.6404279,185.836193,129.3495372
10118,13.52090591,184.3827652,129.3495372,13.51401131,184.3827652,129.3495372,18.63447082,184.3827652,129.3495372,13.50452511,184.3827652,129.3495372,13.49287999,184.3827652,129.3495372,13.11900959,185.836193,129.3495372,13.5535708,186.1020788,129.3495372,13.02752921,185.836193,129.3495372,12.99491693,185.836193,129.3495372,13.02181816,185.836193,129.3495372,13.49947031,184.3827652,129.3495372,13.48841604,184.3827652,129.3495372,13.49621048,184.3827652,129.3495372,13.06978758,185.836193,129.3495372,13.07347248,185.836193,129.3495372,13.01452483,185.836193,129.3495372
10119,14.73078722,184.3827652,129.3495372,14.72343775,184.3827652,129.3495372,23.26248699,184.3827652,129.3495372,16.72576867,184.3827652,129.3495372,14.70091229,184.3827652,129.3495372,14.10321112,185.836193,129.3495372,16.71447949,186.1020788,129.3495372,14.0067947,185.836193,129.3495372,13.97242275,185.836193,129.3495372,14.0007755,185.836193,129.3495372,14.70793741,184.3827652,129.3495372,14.69615384,184.3827652,129.3495372,14.70446251,184.3827652,129.3495372,14.05133322,185.836193,129.3495372,14.05521695,185.836193,129.3495372,13.99308865,185.836193,129.3495372
10120,16.5956872,184.3827652,129.3495372,14.43775505,184.3827652,129.3495372,22.96884725,184.3827652,129.3495372,16.44130392,184.3827652,129.3495372,16.42041123,184.3827652,129.3495372,13.69043572,185.836193,129.3495372,14.14656917,186.1020788,129.3495372,13.59608949,185.836193,129.3495372,13.56245555,185.836193,129.3495372,13.59019952,185.836193,129.3495372,14.42248132,184.3827652,129.3495372,14.41087002,184.3827652,129.3495372,14.41905723,184.3827652,129.3495372,13.63967171,185.836193,129.3495372,13.64347205,185.836193,129.3495372,13.58267772,185.836193,129.3495372
10121,16.62216335,184.3827652,129.3495372,14.50960552,184.3827652,129.3495372,22.99300938,184.3827652,129.3495372,14.49960413,184.3827652,129.3495372,17.20536158,184.3827652,129.3495372,13.69043572,185.836193,129.3495372,17.46753927,186.1020788,129.3495372,13.59608949,185.836193,129.3495372,13.56245555,185.836193,129.3495372,13.59019952,185.836193,129.3495372,14.4942748,184.3827652,129.3495372,14.48262017,184.3827652,129.3495372,14.49083793,184.3827652,129.3495372,13.63967171,185.836193,129.3495372,13.64347205,185.836193,129.3495372,13.58267772,185.836193,129.3495372
10122,17.57388149,184.3827652,129.3495372,14.72802748,184.3827652,129.3495372,23.25112392,184.3827652,129.3495372,17.49901458,184.3827652,129.3495372,17.47735775,184.3827652,129.3495372,19.14831714,185.836193,129.3495372,17.59595622,186.1020788,129.3495372,13.59608949,185.836193,129.3495372,13.56245555,185.836193,129.3495372,13.59019952,185.836193,129.3495372,14.71252351,184.3827652,129.3495372,14.70073717,184.3827652,129.3495372,14.7090478,184.3827652,129.3495372,13.63967171,185.836193,129.3495372,13.64347205,185.836193,129.3495372,13.58267772,185.836193,129.3495372
10123,17.44289955,184.3827652,129.3495372,17.23653962,184.3827652,129.3495372,22.97484338,184.3827652,129.3495372,17.32583376,184.3827652,129.3495372,17.28179342,184.3827652,129.3495372,24.63666997,185.836193,129.3495372,20.87967149,186.1020788,129.3495372,13.59608949,185.836193,129.3495372,13.56245555,185.836193,129.3495372,13.59019952,185.836193,129.3495372,14.4942748,184.3827652,129.3495372,14.48262017,184.3827652,129.3495372,14.49083793,184.3827652,129.3495372,13.63967171,185.836193,129.3495372,18.92775855,185.836193,129.3495372,13.58267772,185.836193,129.3495372
10124,17.45329724,184.3827652,129.3495372,17.21285976,184.3827652,129.3495372,19.74578635,184.3827652,129.3495372,17.31761387,184.3827652,129.3495372,17.25018841,184.3827652,129.3495372,25.01113264,185.836193,129.3495372,17.80522624,186.1020788,129.3495372,13.59608949,185.836193,129.3495372,18.86240494,185.836193,129.3495372,13.59019952,185.836193,129.3495372,14.46390219,184.3827652,129.3495372,14.4522659,184.3827652,129.3495372,14.46047073,184.3827652,129.3495372,18.71980836,185.836193,129.3495372,19.20480461,185.836193,129.3495372,13.58267772,185.836193,129.3495372
10201,20.07788433,184.3827652,129.3495372,19.69618103,184.3827652,129.3495372,20.22681367,184.3827652,129.3495372,16.77814234,184.3827652,129.3495372,13.96825538,184.3827652,129.3495372,29.59285536,185.836193,129.3495372,21.11284137,186.1020788,129.3495372,13.72525197,185.836193,129.3495372,18.96407115,185.836193,129.3495372,13.71932137,185.836193,129.3495372,13.9750168,184.3827652,129.3495372,13.96367554,184.3827652,129.3495372,13.97167234,184.3827652,129.3495372,13.76913494,185.836193,129.3495372,13.77296151,185.836193,129.3495372,13.71174766,185.836193,129.3495372
