; MoDaHr,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC
; Fuel=,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane
; CZ=,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16
10117,7.935459568,148.0324497,114.1900973,12.16248538,148.0324497,114.1900973,12.14695835,148.0324497,114.1900973,7.925211502,148.0324497,114.1900973,7.918284042,148.0324497,114.1900973,7.350771163,150.1505469,114.1900973,7.494747603,150.564282,114.1900973,7.263123476,150.1505469,114.1900973,7.250155652,150.1505469,114.1900973,7.281522942,150.1505469,114.1900973,7.9087554,148.0324497,114.1900973,7.907037489,148.0324497,114.1900973,7.905616316,148.0324497,114.1900973,7.270882223,150.1505469,114.1900973,7.30677809,150.1505469,114.1900973,7.239100365,150.1505469,114.1900973
10118,12.41390669,148.0324497,114.1900973,19.33299307,148.0324497,114.1900973,16.71671157,148.0324497,114.1900973,12.40012425,148.0324497,114.1900973,12.39080763,148.0324497,114.1900973,12.2480672,150.1505469,114.1900973,12.5141199,150.564282,114.1900973,12.12673506,150.1505469,114.1900973,12.10878349,150.1505469,114.1900973,12.15220574,150.1505469,114.1900973,12.37799273,148.0324497,114.1900973,12.37568234,148.0324497,114.1900973,12.37377103,148.0324497,114.1900973,12.13747562,150.1505469,114.1900973,12.18716686,150.1505469,114.1900973,12.09347947,150.1505469,114.1900973
10119,14.894555,148.0324497,114.1900973,20.26173902,148.0324497,114.1900973,20.07987465,148.0324497,114.1900973,17.28770179,148.0324497,114.1900973,17.23799351,148.0324497,114.1900973,12.88189675,150.1505469,114.1900973,17.82799155,150.564282,114.1900973,12.75620502,150.1505469,114.1900973,12.73760843,150.1505469,114.1900973,12.78259089,150.1505469,114.1900973,13.0067146,148.0324497,114.1900973,13.00432087,148.0324497,114.1900973,13.0023406,148.0324497,114.1900973,12.7673315,150.1505469,114.1900973,12.8188082,150.1505469,114.1900973,12.72175452,150.1505469,114.1900973
10120,13.04905491,148.0324497,114.1900973,20.13517917,148.0324497,114.1900973,19.92727964,148.0324497,114.1900973,14.86168016,148.0324497,114.1900973,17.22415086,148.0324497,114.1900973,15.95661285,150.1505469,114.1900973,15.03711355,150.564282,114.1900973,12.76116642,150.1505469,114.1900973,12.74256475,150.1505469,114.1900973,12.78755951,150.1505469,114.1900973,13.01183478,148.0324497,114.1900973,13.00944037,148.0324497,114.1900973,13.00745954,148.0324497,114.1900973,12.77229595,150.1505469,114.1900973,12.82378672,150.1505469,114.1900973,12.72670651,150.1505469,114.1900973
10121,13.03883345,148.0324497,114.1900973,17.33288912,148.0324497,114.1900973,14.95893527,148.0324497,114.1900973,13.02455782,148.0324497,114.1900973,13.01490782,148.0324497,114.1900973,20.53837888,150.1505469,114.1900973,17.83664333,150.564282,114.1900973,12.75128231,150.1505469,114.1900973,12.73269076,150.1505469,114.1900973,12.77766103,150.1505469,114.1900973,13.00163435,148.0324497,114.1900973,12.99924129,148.0324497,114.1900973,12.99726158,148.0324497,114.1900973,12.76240577,150.1505469,114.1900973,12.81386851,150.1505469,114.1900973,12.71684116,150.1505469,114.1900973
10122,13.06024351,148.0324497,114.1900973,17.30099456,148.0324497,114.1900973,17.39479345,148.0324497,114.1900973,15.4381113,148.0324497,114.1900973,15.47836298,148.0324497,114.1900973,25.34332135,150.1505469,114.1900973,20.69196482,150.564282,114.1900973,12.77198576,150.1505469,114.1900973,12.753373,150.1505469,114.1900973,12.79839458,150.1505469,114.1900973,13.02300037,148.0324497,114.1900973,13.02060448,148.0324497,114.1900973,13.01862243,148.0324497,114.1900973,12.78312192,150.1505469,114.1900973,12.83464338,150.1505469,114.1900973,12.73750531,150.1505469,114.1900973
10123,13.09557739,148.0324497,114.1900973,15.48928265,148.0324497,114.1900973,17.44926316,148.0324497,114.1900973,15.5314869,148.0324497,114.1900973,15.5055562,148.0324497,114.1900973,25.69620311,150.1505469,114.1900973,19.0292467,150.564282,114.1900973,12.80615351,150.1505469,114.1900973,12.78750573,150.1505469,114.1900973,17.24275818,150.1505469,114.1900973,13.05826159,148.0324497,114.1900973,13.05586102,148.0324497,114.1900973,13.0538751,148.0324497,114.1900973,12.81731061,150.1505469,114.1900973,12.86892899,150.1505469,114.1900973,12.77160819,150.1505469,114.1900973
10124,15.43691453,148.0324497,114.1900973,13.04764526,148.0324497,114.1900973,17.41949556,148.0324497,114.1900973,15.54553492,148.0324497,114.1900973,15.47414813,148.0324497,114.1900973,25.94441653,150.1505469,114.1900973,19.13223296,150.564282,114.1900973,12.77118692,150.1505469,114.1900973,17.35388839,150.1505469,114.1900973,17.23889145,150.1505469,114.1900973,13.02217596,148.0324497,114.1900973,13.01978018,148.0324497,114.1900973,13.01779822,148.0324497,114.1900973,17.30473684,150.1505469,114.1900973,12.83384178,150.1505469,114.1900973,12.73670798,150.1505469,114.1900973
10201,15.63275009,148.0324497,114.1900973,13.21818827,148.0324497,114.1900973,13.23211374,148.0324497,114.1900973,15.61657658,148.0324497,114.1900973,13.20589276,148.0324497,114.1900973,22.70283668,150.1505469,114.1900973,19.46260698,150.564282,114.1900973,12.9448095,150.1505469,114.1900973,22.07072841,150.1505469,114.1900973,17.48661632,150.1505469,114.1900973,13.19247896,148.0324497,114.1900973,13.1900606,148.0324497,114.1900973,13.18805997,148.0324497,114.1900973,17.52218931,150.1505469,114.1900973,13.00806328,150.1505469,114.1900973,12.91000098,150.1505469,114.1900973
10202,13.2312945,148.0324497,114.1900973,13.21941063,148.0324497,114.1900973,13.23333703,148.0324497,114.1900973,13.21686698,148.0324497,114.1900973,13.2071143,148.0324497,114.1900973,21.95697616,150.1505469,114.1900973,19.2848832,150.564282,114.1900973,12.94599229,150.1505469,114.1900973,12.92720122,150.1505469,114.1900973,12.97265409,150.1505469,114.1900973,13.1936996,148.0324497,114.1900973,13.19128108,148.0324497,114.1900973,13.18928031,148.0324497,114.1900973,12.95723512,150.1505469,114.1900973,13.00925015,150.1505469,114.1900973,12.91118152,150.1505469,114.1900973
