; MoDaHr,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV
; Fuel=,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane
; CZ=,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16
10203,9.966269138,126.6371237,110.6776243,9.970080286,126.6371237,110.6776243,9.968666327,126.6371237,110.6776243,9.958696328,126.6371237,110.6776243,9.969202832,126.6371237,110.6776243,10.18062872,126.9810847,110.6776243,9.50735641,127.5442138,110.6776243,10.16115523,126.9810847,110.6776243,10.16154008,126.9810847,110.6776243,10.15959256,126.9810847,110.6776243,9.959482174,126.6371237,110.6776243,9.960753613,126.6371237,110.6776243,9.954039268,126.6371237,110.6776243,10.15316453,126.9810847,110.6776243,10.1425267,126.9810847,110.6776243,10.19504938,126.9810847,110.6776243
10204,8.699960975,126.6371237,110.6776243,8.703520778,126.6371237,110.6776243,8.70220007,126.6371237,110.6776243,8.692887593,126.6371237,110.6776243,8.702701193,126.6371237,110.6776243,8.880578007,126.9810847,110.6776243,8.281274226,127.5442138,110.6776243,8.862452657,126.9810847,110.6776243,8.86281086,126.9810847,110.6776243,8.860998166,126.9810847,110.6776243,8.693621612,126.6371237,110.6776243,8.6948092,126.6371237,110.6776243,8.688537666,126.6371237,110.6776243,8.855015149,126.9810847,110.6776243,8.845113765,126.9810847,110.6776243,8.894000333,126.9810847,110.6776243
10205,8.358024218,126.6371237,110.6776243,8.361516151,126.6371237,110.6776243,8.360220623,126.6371237,110.6776243,8.351085694,126.6371237,110.6776243,8.360712191,126.6371237,110.6776243,8.488699892,126.9810847,110.6776243,7.911692663,127.5442138,110.6776243,8.470980916,126.9810847,110.6776243,8.471331088,126.9810847,110.6776243,8.469559035,126.9810847,110.6776243,8.351805718,126.6371237,110.6776243,8.352970664,126.6371237,110.6776243,8.346818701,126.6371237,110.6776243,8.463710158,126.9810847,110.6776243,8.454030765,126.9810847,110.6776243,8.501821288,126.9810847,110.6776243
10206,8.703692355,126.6371237,110.6776243,8.707252898,126.6371237,110.6776243,8.705931915,126.6371237,110.6776243,8.6966175,126.6371237,110.6776243,8.706433142,126.6371237,110.6776243,8.867985963,126.9810847,110.6776243,8.269398627,127.5442138,110.6776243,8.84987367,126.9810847,110.6776243,8.850231615,126.9810847,110.6776243,8.848420228,126.9810847,110.6776243,8.697351672,126.6371237,110.6776243,8.698539507,126.6371237,110.6776243,8.692266668,126.6371237,110.6776243,8.842441521,126.9810847,110.6776243,8.83254727,126.9810847,110.6776243,8.88139862,126.9810847,110.6776243
10207,10.58269775,126.6371237,110.6776243,10.58663125,126.6371237,110.6776243,10.5851719,126.6371237,110.6776243,10.57488183,126.6371237,110.6776243,10.58572563,126.6371237,110.6776243,10.68821957,126.9810847,110.6776243,9.986067041,127.5442138,110.6776243,10.66821972,126.9810847,110.6776243,10.66861496,126.9810847,110.6776243,10.6666148,126.9810847,110.6776243,10.5756929,126.6371237,110.6776243,10.57700516,126.6371237,110.6776243,10.57007526,126.6371237,110.6776243,10.66001303,126.9810847,110.6776243,10.64908765,126.9810847,110.6776243,10.70303002,126.9810847,110.6776243
10208,8.633154172,126.6371237,110.6776243,8.636700715,126.6371237,110.6776243,8.635384926,126.6371237,110.6776243,8.626107138,126.6371237,110.6776243,8.635884182,126.6371237,110.6776243,8.622658158,126.9810847,110.6776243,8.038029152,127.5442138,110.6776243,8.604800268,126.9810847,110.6776243,8.605153185,126.9810847,110.6776243,8.60336724,126.9810847,110.6776243,8.626838423,126.6371237,110.6776243,8.628021587,126.6371237,110.6776243,8.621773414,126.6371237,110.6776243,8.597472509,126.9810847,110.6776243,8.587717232,126.9810847,110.6776243,8.635882422,126.9810847,110.6776243
10209,8.244382638,126.6371237,110.6776243,8.247852014,126.6371237,110.6776243,8.246564855,126.6371237,110.6776243,8.237488933,126.6371237,110.6776243,8.247053248,126.6371237,110.6776243,7.515202818,126.9810847,110.6776243,6.993584312,127.5442138,110.6776243,7.498493348,126.9810847,110.6776243,7.49882357,126.9810847,110.6776243,7.497152476,126.9810847,110.6776243,8.238204307,126.6371237,110.6776243,8.239361728,126.6371237,110.6776243,8.233249503,126.6371237,110.6776243,7.491636829,126.9810847,110.6776243,7.482508902,126.9810847,110.6776243,7.527576645,126.9810847,110.6776243
10210,8.26122875,126.6371237,110.6776243,8.26470147,126.6371237,110.6776243,8.26341307,126.6371237,110.6776243,8.254328401,126.6371237,110.6776243,8.263901933,126.6371237,110.6776243,7.4938592,126.9810847,110.6776243,6.973455074,127.5442138,110.6776243,7.477171863,126.9810847,110.6776243,7.477501648,126.9810847,110.6776243,7.475832768,126.9810847,110.6776243,8.255044464,126.6371237,110.6776243,8.256203,126.6371237,110.6776243,8.250084885,126.6371237,110.6776243,7.470324426,126.9810847,110.6776243,7.46120859,126.9810847,110.6776243,7.506216637,126.9810847,110.6776243
10211,8.26156776,126.6371237,110.6776243,8.265040548,126.6371237,110.6776243,8.263752123,126.6371237,110.6776243,8.254667278,126.6371237,110.6776243,8.264240996,126.6371237,110.6776243,7.493066857,126.9810847,110.6776243,6.972707813,127.5442138,110.6776243,7.476380342,126.9810847,110.6776243,7.47671011,126.9810847,110.6776243,7.475041313,126.9810847,110.6776243,8.255383355,126.6371237,110.6776243,8.256541914,126.6371237,110.6776243,8.25042368,126.6371237,110.6776243,7.469533243,126.9810847,110.6776243,7.460417855,126.9810847,110.6776243,7.505423686,126.9810847,110.6776243
10212,7.51110869,126.6371237,110.6776243,7.514432521,126.6371237,110.6776243,7.513199359,126.6371237,110.6776243,7.504504185,126.6371237,110.6776243,7.513667264,126.6371237,110.6776243,7.488879846,126.9810847,110.6776243,6.968759029,127.5442138,110.6776243,7.472197674,126.9810847,110.6776243,7.472527356,126.9810847,110.6776243,7.470858992,126.9810847,110.6776243,7.505189548,126.6371237,110.6776243,7.506298413,126.6371237,110.6776243,7.500442606,126.6371237,110.6776243,7.465352355,126.9810847,110.6776243,7.45623934,126.9810847,110.6776243,7.50123346,126.9810847,110.6776243
