; MoDaHr,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV
; Fuel=,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane
; CZ=,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16
10115,27.22551454,286.1004804,540.4062069,26.99221787,286.1004804,540.4062069,27.13966607,286.1004804,540.4062069,27.18419746,286.1004804,540.4062069,27.29406413,286.1004804,540.4062069,24.48566792,289.191387,540.4062069,24.44426598,290.8274286,540.4062069,24.59597902,289.191387,540.4062069,24.52128617,289.191387,540.4062069,24.46898904,289.191387,540.4062069,27.10567888,286.1004804,540.4062069,27.11405529,286.1004804,540.4062069,27.04285671,286.1004804,540.4062069,24.45959855,289.191387,540.4062069,24.47309128,289.191387,540.4062069,25.0071659,289.191387,540.4062069
10116,28.24153519,286.1004804,540.4062069,28.00575832,286.1004804,540.4062069,28.15477406,286.1004804,540.4062069,28.19977887,286.1004804,540.4062069,28.31081355,286.1004804,540.4062069,25.16465765,289.191387,540.4062069,25.12196755,290.8274286,540.4062069,25.27577805,289.191387,540.4062069,25.20053722,289.191387,540.4062069,25.1478564,289.191387,540.4062069,28.12042555,286.1004804,540.4062069,28.12889101,286.1004804,540.4062069,28.0569355,286.1004804,540.4062069,25.13839701,289.191387,540.4062069,25.15198874,289.191387,540.4062069,25.68998163,289.191387,540.4062069
10117,28.72675222,286.1004804,540.4062069,28.48979088,286.1004804,540.4062069,28.63955522,286.1004804,540.4062069,28.68478613,286.1004804,540.4062069,28.7963786,286.1004804,540.4062069,28.74450483,289.191387,540.4062069,28.69505282,290.8274286,540.4062069,28.85989215,289.191387,540.4062069,28.78176214,289.191387,540.4062069,28.72705843,289.191387,540.4062069,28.60503416,286.1004804,540.4062069,28.61354215,286.1004804,540.4062069,28.54122516,286.1004804,540.4062069,28.71723582,289.191387,540.4062069,28.73134945,289.191387,540.4062069,29.29000073,289.191387,540.4062069
10118,28.73352884,286.1004804,540.4062069,28.49655096,286.1004804,540.4062069,28.64632576,286.1004804,540.4062069,28.69155982,286.1004804,540.4062069,28.80316009,286.1004804,540.4062069,28.77427212,289.191387,540.4062069,28.72476257,290.8274286,540.4062069,28.88969491,289.191387,540.4062069,28.81154088,289.191387,540.4062069,28.75682035,289.191387,540.4062069,28.61180229,286.1004804,540.4062069,28.62031087,286.1004804,540.4062069,28.54798884,286.1004804,540.4062069,28.74699472,289.191387,540.4062069,28.76111269,289.191387,540.4062069,29.31993575,289.191387,540.4062069
10119,28.73197781,286.1004804,540.4062069,28.49500371,286.1004804,540.4062069,28.64477612,286.1004804,540.4062069,28.69000946,286.1004804,540.4062069,28.80160794,286.1004804,540.4062069,28.7745737,289.191387,540.4062069,28.72506357,290.8274286,540.4062069,28.88999686,289.191387,540.4062069,28.81184258,289.191387,540.4062069,28.75712188,289.191387,540.4062069,28.61025319,286.1004804,540.4062069,28.61876164,286.1004804,540.4062069,28.54644076,286.1004804,540.4062069,28.74729622,289.191387,540.4062069,28.76141424,289.191387,540.4062069,29.32023904,289.191387,540.4062069
10120,28.72836586,286.1004804,540.4062069,28.49140059,286.1004804,540.4062069,28.64116742,286.1004804,540.4062069,28.68639907,286.1004804,540.4062069,28.7979934,286.1004804,540.4062069,28.77086544,289.191387,540.4062069,28.72136228,290.8274286,540.4062069,28.88628418,289.191387,540.4062069,28.80813289,289.191387,540.4062069,28.75341429,289.191387,540.4062069,28.60664578,286.1004804,540.4062069,28.61515391,286.1004804,540.4062069,28.54283572,286.1004804,540.4062069,28.743589,289.191387,540.4062069,28.75770648,289.191387,540.4062069,29.31650988,289.191387,540.4062069
10121,28.72290526,286.1004804,540.4062069,28.48595331,286.1004804,540.4062069,28.63571172,286.1004804,540.4062069,28.68094083,286.1004804,540.4062069,28.79252888,286.1004804,540.4062069,28.76319798,289.191387,540.4062069,28.71370873,290.8274286,540.4062069,28.87860758,289.191387,540.4062069,28.80046248,289.191387,540.4062069,28.74574821,289.191387,540.4062069,28.60119202,286.1004804,540.4062069,28.60969967,286.1004804,540.4062069,28.53738556,286.1004804,540.4062069,28.7359237,289.191387,540.4062069,28.75004006,289.191387,540.4062069,29.30879921,289.191387,540.4062069
10122,28.65481646,286.1004804,540.4062069,28.41803073,286.1004804,540.4062069,28.56768409,286.1004804,540.4062069,28.61288147,286.1004804,540.4062069,28.72439125,286.1004804,540.4062069,28.57235303,289.191387,540.4062069,28.5232351,290.8274286,540.4062069,28.68753516,289.191387,540.4062069,28.60954409,289.191387,540.4062069,28.55493766,289.191387,540.4062069,28.5331886,286.1004804,540.4062069,28.54169029,286.1004804,540.4062069,28.46942689,286.1004804,540.4062069,28.54513251,289.191387,540.4062069,28.55922105,289.191387,540.4062069,29.11687888,289.191387,540.4062069
10123,28.34200946,286.1004804,540.4062069,28.10598732,286.1004804,540.4062069,28.25515807,286.1004804,540.4062069,28.3002097,286.1004804,540.4062069,28.41135988,286.1004804,540.4062069,28.14273891,289.191387,540.4062069,28.09444118,290.8274286,540.4062069,28.25740896,289.191387,540.4062069,28.17976462,289.191387,540.4062069,28.12540096,289.191387,540.4062069,28.22077383,286.1004804,540.4062069,28.2292481,286.1004804,540.4062069,28.15721774,286.1004804,540.4062069,28.1156394,289.191387,540.4062069,28.1296653,289.191387,540.4062069,28.68484394,289.191387,540.4062069
10124,28.04827941,286.1004804,540.4062069,27.81297429,286.1004804,540.4062069,27.96169187,286.1004804,540.4062069,28.00660664,286.1004804,540.4062069,28.11741915,286.1004804,540.4062069,27.40086807,289.191387,540.4062069,27.35397772,290.8274286,540.4062069,27.51465387,289.191387,540.4062069,27.43760827,289.191387,540.4062069,27.38366382,289.191387,540.4062069,27.92741209,286.1004804,540.4062069,27.93586061,286.1004804,540.4062069,27.86404908,286.1004804,540.4062069,27.37397753,289.191387,540.4062069,27.38789528,289.191387,540.4062069,27.93879277,289.191387,540.4062069
10201,27.45937005,286.1004804,540.4062069,27.22550251,286.1004804,540.4062069,27.37331151,286.1004804,540.4062069,27.41795187,286.1004804,540.4062069,27.52808738,286.1004804,540.4062069,25.97655909,289.191387,540.4062069,25.93229186,290.8274286,540.4062069,26.08864722,289.191387,540.4062069,26.01275113,289.191387,540.4062069,25.95961152,289.191387,540.4062069,27.33924116,286.1004804,540.4062069,27.34763806,286.1004804,540.4062069,27.27626526,286.1004804,540.4062069,25.95006976,289.191387,540.4062069,25.96377985,289.191387,540.4062069,26.50645802,289.191387,540.4062069
10202,27.1494811,286.1004804,540.4062069,26.91637004,286.1004804,540.4062069,27.06370093,286.1004804,540.4062069,27.1081969,286.1004804,540.4062069,27.21797616,286.1004804,540.4062069,25.96005115,289.191387,540.4062069,25.9158124,290.8274286,540.4062069,26.0721196,289.191387,540.4062069,25.99623683,289.191387,540.4062069,25.94310656,289.191387,540.4062069,27.02974078,286.1004804,540.4062069,27.03811053,286.1004804,540.4062069,26.96696859,286.1004804,540.4062069,25.93356647,289.191387,540.4062069,25.94727415,289.191387,540.4062069,26.48985706,289.191387,540.4062069
10203,27.4742438,286.1004804,540.4062069,27.24033995,286.1004804,540.4062069,27.3881719,286.1004804,540.4062069,27.43281919,286.1004804,540.4062069,27.54297179,286.1004804,540.4062069,25.99054936,289.191387,540.4062069,25.94625492,290.8274286,540.4062069,26.10265417,289.191387,540.4062069,26.02674678,289.191387,540.4062069,25.97359927,289.191387,540.4062069,27.35409626,286.1004804,540.4062069,27.36249447,286.1004804,540.4062069,27.29111058,286.1004804,540.4062069,25.96405609,289.191387,540.4062069,25.97776822,289.191387,540.4062069,26.52052712,289.191387,540.4062069
10204,28.04289904,286.1004804,540.4062069,27.80760706,286.1004804,540.4062069,27.95631634,286.1004804,540.4062069,28.00122859,286.1004804,540.4062069,28.11203492,286.1004804,540.4062069,27.01866352,289.191387,540.4062069,26.97245838,290.8274286,540.4062069,27.13199376,289.191387,540.4062069,27.05525662,289.191387,540.4062069,27.00152815,289.191387,540.4062069,27.92203846,286.1004804,540.4062069,27.93048652,286.1004804,540.4062069,27.85867899,286.1004804,540.4062069,26.99188064,289.191387,540.4062069,27.00574267,289.191387,540.4062069,27.55443456,289.191387,540.4062069
10205,28.58493233,286.1004804,540.4062069,28.34831719,286.1004804,540.4062069,28.49786273,286.1004804,540.4062069,28.54302755,286.1004804,540.4062069,28.65445699,286.1004804,540.4062069,28.53660634,289.191387,540.4062069,28.4875074,290.8274286,540.4062069,28.65174585,289.191387,540.4062069,28.57378363,289.191387,540.4062069,28.5191974,289.191387,540.4062069,28.4633921,286.1004804,540.4062069,28.47188766,286.1004804,540.4062069,28.39967633,286.1004804,540.4062069,28.50939588,289.191387,540.4062069,28.52347921,289.191387,540.4062069,29.08093076,289.191387,540.4062069
10206,28.67919122,286.1004804,540.4062069,28.44234598,286.1004804,540.4062069,28.59203695,286.1004804,540.4062069,28.63724569,286.1004804,540.4062069,28.74878348,286.1004804,540.4062069,28.68684206,289.191387,540.4062069,28.63746318,290.8274286,540.4062069,28.80216065,289.191387,540.4062069,28.72407717,289.191387,540.4062069,28.66940605,289.191387,540.4062069,28.55753279,286.1004804,540.4062069,28.56603661,286.1004804,540.4062069,28.49375506,286.1004804,540.4062069,28.65958928,289.191387,540.4062069,28.67369451,289.191387,540.4062069,29.23201304,289.191387,540.4062069
10207,28.69676291,286.1004804,540.4062069,28.45987478,286.1004804,540.4062069,28.60959285,286.1004804,540.4062069,28.65480978,286.1004804,540.4062069,28.76636778,286.1004804,540.4062069,28.6974066,289.191387,540.4062069,28.64800953,290.8274286,540.4062069,28.81273779,289.191387,540.4062069,28.73464579,289.191387,540.4062069,28.67996869,289.191387,540.4062069,28.57508245,286.1004804,540.4062069,28.58358781,286.1004804,540.4062069,28.51129317,286.1004804,540.4062069,28.67015086,289.191387,540.4062069,28.68425763,289.191387,540.4062069,29.24263711,289.191387,540.4062069
10208,28.69775072,286.1004804,540.4062069,28.46086017,286.1004804,540.4062069,28.61057977,286.1004804,540.4062069,28.65579716,286.1004804,540.4062069,28.7673563,286.1004804,540.4062069,28.68690498,289.191387,540.4062069,28.63752729,290.8274286,540.4062069,28.80222364,289.191387,540.4062069,28.72414012,289.191387,540.4062069,28.66946896,289.191387,540.4062069,28.57606902,286.1004804,540.4062069,28.58457447,286.1004804,540.4062069,28.51227909,286.1004804,540.4062069,28.65965219,289.191387,540.4062069,28.67375743,289.191387,540.4062069,29.23207631,289.191387,540.4062069
10209,28.85993259,286.1004804,540.4062069,28.62264615,286.1004804,540.4062069,28.77261596,286.1004804,540.4062069,28.81790892,286.1004804,540.4062069,28.9296545,286.1004804,540.4062069,28.54846208,289.191387,540.4062069,28.51023075,290.8274286,540.4062069,28.66361573,289.191387,540.4062069,28.58564394,289.191387,540.4062069,28.53105101,289.191387,540.4062069,28.73804753,286.1004804,540.4062069,28.7465672,286.1004804,540.4062069,28.67415099,286.1004804,540.4062069,28.52124828,289.191387,540.4062069,28.53533334,289.191387,540.4062069,29.0928533,289.191387,540.4062069
10210,28.58650751,286.1004804,540.4062069,28.34988852,286.1004804,540.4062069,28.4994365,286.1004804,540.4062069,28.54460205,286.1004804,540.4062069,28.6560333,286.1004804,540.4062069,25.83299413,289.191387,540.4062069,25.79780241,290.8274286,540.4062069,25.94491114,289.191387,540.4062069,25.86913091,289.191387,540.4062069,25.81607244,289.191387,540.4062069,28.4649653,286.1004804,540.4062069,28.473461,286.1004804,540.4062069,28.4012485,286.1004804,540.4062069,25.80654524,289.191387,540.4062069,25.8202344,289.191387,540.4062069,26.36208409,289.191387,540.4062069
